# target-audit capability signal history. One row per stable signal ID.
# Seeded 2026-09-22 from the local reports and the published update articles;
# disposition and issues fill in as later runs settle each signal.
# The issues column holds comma-separated GitHub issue numbers without a leading #.
# signal-id	first-seen	last-seen	disposition	issues	note
cap-acp-agent-server-mode	2026-09-22	2026-09-22	watch		Junie --acp has no persisted project artifact; .junie/config.json field table carries no acp key.
cap-agent-approval-policy	2026-09-16	2026-09-16			
cap-agent-mcp-scoping	2026-09-15	2026-09-15			published
cap-agent-reasoning-effort	2026-09-16	2026-09-23	spec-candidate	824	published; the portable agent effort field shipped from the 824 design.
cap-agent-scoped-lifecycle-hooks	2026-09-16	2026-09-24	watch		antigravity changelog v2.17.0 (2026-09-22): "A Markdown agent can list hook files in its front matter with a hooks: entry." Changelog-only; /docs/subagents names no hooks key. Question: does a docs page give the key's shape?
cap-agent-scoped-mcp-allowlist	2026-09-18	2026-09-18			
cap-agent-shared-board	2026-09-15	2026-09-21			
cap-agent-skill-scoping	2026-09-18	2026-09-18			
cap-agent-tool-permission-policy	2026-09-15	2026-09-15			
cap-claude-attribution-boolean-shorthand	2026-09-25	2026-09-25	target-extension		Claude Code v2.1.281+ accepts attribution: false; older versions skip the whole settings file. Reachable via x-claude today; no first-class field while npm stable < 2.1.281.
cap-cosmos-daemon-pool-config	2026-09-25	2026-09-25	watch		augment Auggie CLI 0.35.0 (2026-08-13): "declarative configuration for daemon pools"; Cosmos daemons page lists a project-scope daemon-config.json with no stated path or availability tier.
cap-cross-tool-config-import-toggle	2026-09-18	2026-09-18			
cap-directory-scoped-skills	2026-09-15	2026-09-21			published
cap-factory-skill-metadata-fields	2026-09-25	2026-09-25	target-extension		Factory SKILL.md allowed-tools, enabled, user-invocable, license, compatibility, version, metadata reach the file through x-factory; reproduced, no code change needed.
cap-fail-closed-hook-policy	2026-09-15	2026-09-15			
cap-kilo-session-goals	2026-09-22	2026-09-22	target-extension		Reachable today through x-kilo.permission (goal, goal_report); reproduced end to end, no code change needed.
cap-kilo-skill-metadata-fields	2026-09-23	2026-09-23	target-extension		Kilo skill license, compatibility, metadata reach SKILL.md through x-kilo today; reproduced, no code change needed.
cap-manual-only-skill-invocation	2026-09-15	2026-09-16			published
cap-orb-environment-lifecycle	2026-09-15	2026-09-15			
cap-outbound-http-lifecycle-hooks	2026-09-15	2026-09-21			
cap-project-config-trust-gates	2026-09-15	2026-09-15			
cap-project-default-model-settings	2026-09-15	2026-09-16			
cap-project-default-reasoning-effort	2026-09-18	2026-09-23	spec-candidate	1069	published; the settings effort field shipped in v0.66.0 from the 1069 design (claude, copilot, codex, factory).
cap-project-demo-environments	2026-09-21	2026-09-21			
cap-project-extension-bundles	2026-09-15	2026-09-25			published; factory: project .factory/settings.json enabledPlugins and extraKnownMarketplaces install as project scope (docs.factory.ai/harness/plugins); reachable through x-factory today.
cap-project-index-exclusions	2026-09-15	2026-09-15			
cap-project-model-allowlist	2026-09-16	2026-09-18			
cap-project-parameterized-recipes	2026-09-23	2026-09-23	watch		goose discovers committed recipes in ./.goose/recipes/ (goose-docs.ai storing-recipes); v1.52.0 hardens recipe params and consent. No kind or x-goose route writes that path. Question: does a second target document a committed, parameterized task file the command kind cannot carry? Read the recipe field list directly first.
cap-project-permission-policy	2026-09-18	2026-09-18			
cap-project-provider-policy	2026-09-18	2026-09-18			
cap-prompt-hook-continue-on-block	2026-09-15	2026-09-15			
cap-rule-activation-policy	2026-09-22	2026-09-24	adapter-gap	1029,1113	Both legs shipped: Qoder rule activation metadata round-trips (#1032), and Antigravity rules carry trigger frontmatter (#1117).
cap-scheduled-project-agents	2026-09-15	2026-09-15			
cap-session-start-prompt-injection	2026-09-15	2026-09-15			
cap-subagent-project-context-exclusion	2026-09-15	2026-09-15			
